"sampling_stratregy","agent_number","mean_delta","time_max","prop_biased"
"MAP",88,0.353535353535354,"100","0% biased agents"
"MAP",89,0.222222222222222,"100","0% biased agents"
"MAP",90,0.181818181818182,"100","0% biased agents"
"MAP",91,0.424242424242424,"100","0% biased agents"
"MAP",92,0.141414141414141,"100","0% biased agents"
"MAP",93,0.303030303030303,"100","0% biased agents"
"MAP",94,0.181818181818182,"100","0% biased agents"
"MAP",95,0.373737373737374,"100","0% biased agents"
"MAP",96,0.222222222222222,"100","0% biased agents"
"MAP",97,0.414141414141414,"100","0% biased agents"
"MAP",98,0.414141414141414,"100","0% biased agents"
"MAP",99,0.222222222222222,"100","0% biased agents"
"MAP",101,0.404040404040404,"100","0% biased agents"
"MAP",102,0.525252525252525,"100","0% biased agents"
"SAM",2,0.424242424242424,"100","0% biased agents"
"SAM",3,0.444444444444444,"100","0% biased agents"
"SAM",4,0.282828282828283,"100","0% biased agents"
"SAM",5,0.282828282828283,"100","0% biased agents"
"SAM",6,0.505050505050505,"100","0% biased agents"
"SAM",7,0.464646464646465,"100","0% biased agents"
"SAM",8,0.404040404040404,"100","0% biased agents"
"SAM",9,0.555555555555556,"100","0% biased agents"
"SAM",10,0.555555555555556,"100","0% biased agents"
"SAM",11,0.292929292929293,"100","0% biased agents"
"SAM",12,0.424242424242424,"100","0% biased agents"
"SAM",13,0.444444444444444,"100","0% biased agents"
"SAM",14,0.464646464646465,"100","0% biased agents"
"SAM",15,0.444444444444444,"100","0% biased agents"
"SAM",16,0.323232323232323,"100","0% biased agents"
"SAM",17,0.454545454545455,"100","0% biased agents"
"SAM",18,0.202020202020202,"100","0% biased agents"
"SAM",19,0.343434343434343,"100","0% biased agents"
"SAM",20,0.414141414141414,"100","0% biased agents"
"SAM",21,0.373737373737374,"100","0% biased agents"
"SAM",22,0.484848484848485,"100","0% biased agents"
"SAM",23,0.525252525252525,"100","0% biased agents"
"SAM",24,0.454545454545455,"100","0% biased agents"
"SAM",25,0.424242424242424,"100","0% biased agents"
"SAM",26,0.454545454545455,"100","0% biased agents"
"SAM",27,0.494949494949495,"100","0% biased agents"
"SAM",28,0.494949494949495,"100","0% biased agents"
"SAM",29,0.313131313131313,"100","0% biased agents"
"SAM",30,0.505050505050505,"100","0% biased agents"
"SAM",31,0.474747474747475,"100","0% biased agents"
"SAM",32,0.353535353535354,"100","0% biased agents"
